ProductID,VariantID,Title,Handle,ProductType,VariantTitle,SKU,Price,CompareAtPrice,Available,Grams,Origin,Process,Method,Type,Profile,Caffeine,PublishedAt,UpdatedAt,ScrapedMonth
6824294547554,40195930128482,Café Comunión Blend,cafe-comunion-blend,Coffee,10oz,1966,9.68,,true,312,Colombia / Ethiopia,Washed,Espresso / Filter,blend,modern,,2025-11-04,2026-06-24,2026-06
6824294547554,40195930161250,Café Comunión Blend,cafe-comunion-blend,Coffee,5lbs,1967,53.55,,true,2313,Colombia / Ethiopia,Washed,Espresso / Filter,blend,modern,,2025-11-04,2026-06-24,2026-06
7530797400162,42671954296930,Flamingo Reserve,flamingo-reserve,Coffee,10oz Case Pack (6),BLD-FR-6x10OZ,77.94,,true,1701,Colombia / Ethiopia,Washed,Espresso,blend,traditional,,2026-03-23,2026-06-24,2026-06
6833630183522,40226943238242,Toddy,toddy,Coffee,Default Title,1406,45.00,,true,0,,,,,,,2025-03-10,2026-06-24,2026-06
7326642077794,41841301487714,Porter Blend,porter-blend,Coffee,10oz,BLD-PB-10OZ,12.00,,true,312,Colombia / Ethiopia / Honduras,Washed,Espresso / Filter,blend,modern,,2025-03-31,2026-06-24,2026-06
7326642077794,41841301520482,Porter Blend,porter-blend,Coffee,5lbs,BLD-PB-5LBS,60.00,,true,2313,Colombia / Ethiopia / Honduras,Washed,Espresso / Filter,blend,modern,,2025-03-31,2026-06-24,2026-06
6819333242978,40181262549090,The Daily,the-daily,Coffee,10oz,10357,14.00,,true,298,,,,,,,2022-11-29,2026-06-24,2026-06
6819333242978,40181378547810,The Daily,the-daily,Coffee,2lbs,10358,30.00,,true,298,,,,,,,2022-11-29,2026-06-24,2026-06
6819333242978,40181262581858,The Daily,the-daily,Coffee,5lbs,10359,80.00,,true,2313,,,,,,,2022-11-29,2026-06-24,2026-06
6802421874786,40120271175778,Cross Church Blend,cross-church-blend,Coffee,5lbs,1841,26.25,,true,2268,,,,,,,2022-10-25,2026-06-24,2026-06
6803019268194,40120272683106,Life Church Blend (Rogers),life-church-rogers,,1.4lbs,10258,14.00,,true,2268,,,,,,,2022-10-25,2026-06-24,2026-06
6803019268194,40120272715874,Life Church Blend (Rogers),life-church-rogers,,12oz,10259,9.25,,true,2268,,,,,,,2022-10-25,2026-06-24,2026-06
6840799428706,40248225366114,Notion,notion,Coffee,10oz,1627,10.25,,true,312,Colombia / Ethiopia,Washed,Espresso / Filter,blend,traditional,,2025-10-31,2026-06-24,2026-06
